run_index,total_runs,timestamp,item_mem_seed,num_levels,vector_dimension,use_genetic_item_memory,binning_mode,output_mode,log_file,duration_sec
1,5220,2026-04-23T08:20:02.684965,10,5,201,0,0,2,run_levels_005_dim_00201.txt,1.049
2,5220,2026-04-23T08:20:03.705658,10,5,251,0,0,2,run_levels_005_dim_00251.txt,1.017
3,5220,2026-04-23T08:20:04.739040,10,5,301,0,0,2,run_levels_005_dim_00301.txt,1.030
4,5220,2026-04-23T08:20:05.798714,10,5,351,0,0,2,run_levels_005_dim_00351.txt,1.057
5,5220,2026-04-23T08:20:06.891189,10,5,401,0,0,2,run_levels_005_dim_00401.txt,1.089
6,5220,2026-04-23T08:20:08.030056,10,5,451,0,0,2,run_levels_005_dim_00451.txt,1.136
7,5220,2026-04-23T08:20:09.202718,10,5,501,0,0,2,run_levels_005_dim_00501.txt,1.169
8,5220,2026-04-23T08:20:10.374794,10,5,551,0,0,2,run_levels_005_dim_00551.txt,1.169
9,5220,2026-04-23T08:20:11.567418,10,5,601,0,0,2,run_levels_005_dim_00601.txt,1.189
10,5220,2026-04-23T08:20:12.705404,10,5,651,0,0,2,run_levels_005_dim_00651.txt,1.135
11,5220,2026-04-23T08:20:13.849992,10,5,701,0,0,2,run_levels_005_dim_00701.txt,1.141
12,5220,2026-04-23T08:20:15.043342,10,5,751,0,0,2,run_levels_005_dim_00751.txt,1.190
13,5220,2026-04-23T08:20:16.302365,10,5,801,0,0,2,run_levels_005_dim_00801.txt,1.256
14,5220,2026-04-23T08:20:17.610458,10,5,851,0,0,2,run_levels_005_dim_00851.txt,1.305
15,5220,2026-04-23T08:20:18.945812,10,5,901,0,0,2,run_levels_005_dim_00901.txt,1.332
16,5220,2026-04-23T08:20:20.255745,10,5,951,0,0,2,run_levels_005_dim_00951.txt,1.307
17,5220,2026-04-23T08:20:21.528006,10,5,1000,0,0,2,run_levels_005_dim_01000.txt,1.269
18,5220,2026-04-23T08:20:23.013017,10,5,1500,0,0,2,run_levels_005_dim_01500.txt,1.482
19,5220,2026-04-23T08:20:24.710425,10,5,2000,0,0,2,run_levels_005_dim_02000.txt,1.694
20,5220,2026-04-23T08:20:26.651788,10,5,2500,0,0,2,run_levels_005_dim_02500.txt,1.938
21,5220,2026-04-23T08:20:28.617058,10,5,3000,0,0,2,run_levels_005_dim_03000.txt,1.962
22,5220,2026-04-23T08:20:30.709998,10,5,3500,0,0,2,run_levels_005_dim_03500.txt,2.090
23,5220,2026-04-23T08:20:33.175608,10,5,4000,0,0,2,run_levels_005_dim_04000.txt,2.462
24,5220,2026-04-23T08:20:36.143090,10,5,4500,0,0,2,run_levels_005_dim_04500.txt,2.964
25,5220,2026-04-23T08:20:38.785910,10,5,5000,0,0,2,run_levels_005_dim_05000.txt,2.640
26,5220,2026-04-23T08:20:42.299089,10,5,5500,0,0,2,run_levels_005_dim_05500.txt,3.510
27,5220,2026-04-23T08:20:45.988131,10,5,6000,0,0,2,run_levels_005_dim_06000.txt,3.685
28,5220,2026-04-23T08:20:49.943666,10,5,6500,0,0,2,run_levels_005_dim_06500.txt,3.953
29,5220,2026-04-23T08:20:53.347381,10,5,7000,0,0,2,run_levels_005_dim_07000.txt,3.401
30,5220,2026-04-23T08:20:57.125927,10,5,7500,0,0,2,run_levels_005_dim_07500.txt,3.775
31,5220,2026-04-23T08:21:00.489877,10,5,8000,0,0,2,run_levels_005_dim_08000.txt,3.361
32,5220,2026-04-23T08:21:05.261627,10,5,8500,0,0,2,run_levels_005_dim_08500.txt,4.768
33,5220,2026-04-23T08:21:10.480594,10,5,9000,0,0,2,run_levels_005_dim_09000.txt,5.216
34,5220,2026-04-23T08:21:15.049727,10,5,9500,0,0,2,run_levels_005_dim_09500.txt,4.566
35,5220,2026-04-23T08:21:19.456495,10,5,10000,0,0,2,run_levels_005_dim_10000.txt,4.404
36,5220,2026-04-23T08:21:25.644334,10,5,11000,0,0,2,run_levels_005_dim_11000.txt,6.185
37,5220,2026-04-23T08:21:32.209350,10,5,12000,0,0,2,run_levels_005_dim_12000.txt,6.562
38,5220,2026-04-23T08:21:37.576711,10,5,13000,0,0,2,run_levels_005_dim_13000.txt,5.364
39,5220,2026-04-23T08:21:45.117598,10,5,14000,0,0,2,run_levels_005_dim_14000.txt,7.538
40,5220,2026-04-23T08:21:51.219628,10,5,15000,0,0,2,run_levels_005_dim_15000.txt,6.098
41,5220,2026-04-23T08:21:57.062724,10,5,16000,0,0,2,run_levels_005_dim_16000.txt,5.839
42,5220,2026-04-23T08:22:05.827220,10,5,17000,0,0,2,run_levels_005_dim_17000.txt,8.761
43,5220,2026-04-23T08:22:13.164934,10,5,18000,0,0,2,run_levels_005_dim_18000.txt,7.335
44,5220,2026-04-23T08:22:22.874664,10,5,19000,0,0,2,run_levels_005_dim_19000.txt,9.706
45,5220,2026-04-23T08:22:33.126674,10,5,20000,0,0,2,run_levels_005_dim_20000.txt,10.249
46,5220,2026-04-23T08:22:34.088809,10,6,201,0,0,2,run_levels_006_dim_00201.txt,0.959
47,5220,2026-04-23T08:22:35.083920,10,6,251,0,0,2,run_levels_006_dim_00251.txt,0.992
48,5220,2026-04-23T08:22:36.152312,10,6,301,0,0,2,run_levels_006_dim_00301.txt,1.065
49,5220,2026-04-23T08:22:37.244598,10,6,351,0,0,2,run_levels_006_dim_00351.txt,1.089
50,5220,2026-04-23T08:22:38.384793,10,6,401,0,0,2,run_levels_006_dim_00401.txt,1.137
51,5220,2026-04-23T08:22:39.623994,10,6,451,0,0,2,run_levels_006_dim_00451.txt,1.236
52,5220,2026-04-23T08:22:40.776441,10,6,501,0,0,2,run_levels_006_dim_00501.txt,1.149
53,5220,2026-04-23T08:22:41.897693,10,6,551,0,0,2,run_levels_006_dim_00551.txt,1.118
54,5220,2026-04-23T08:22:43.042631,10,6,601,0,0,2,run_levels_006_dim_00601.txt,1.141
55,5220,2026-04-23T08:22:44.216831,10,6,651,0,0,2,run_levels_006_dim_00651.txt,1.171
56,5220,2026-04-23T08:22:45.393762,10,6,701,0,0,2,run_levels_006_dim_00701.txt,1.174
57,5220,2026-04-23T08:22:46.594667,10,6,751,0,0,2,run_levels_006_dim_00751.txt,1.198
58,5220,2026-04-23T08:22:47.812732,10,6,801,0,0,2,run_levels_006_dim_00801.txt,1.215
59,5220,2026-04-23T08:22:49.017376,10,6,851,0,0,2,run_levels_006_dim_00851.txt,1.201
60,5220,2026-04-23T08:22:50.273155,10,6,901,0,0,2,run_levels_006_dim_00901.txt,1.252
61,5220,2026-04-23T08:22:51.536189,10,6,951,0,0,2,run_levels_006_dim_00951.txt,1.259
62,5220,2026-04-23T08:22:52.900665,10,6,1000,0,0,2,run_levels_006_dim_01000.txt,1.361
63,5220,2026-04-23T08:22:54.513190,10,6,1500,0,0,2,run_levels_006_dim_01500.txt,1.610
64,5220,2026-04-23T08:22:56.207071,10,6,2000,0,0,2,run_levels_006_dim_02000.txt,1.691
65,5220,2026-04-23T08:22:57.996428,10,6,2500,0,0,2,run_levels_006_dim_02500.txt,1.787
66,5220,2026-04-23T08:22:59.900568,10,6,3000,0,0,2,run_levels_006_dim_03000.txt,1.901
67,5220,2026-04-23T08:23:02.055565,10,6,3500,0,0,2,run_levels_006_dim_03500.txt,2.152
68,5220,2026-04-23T08:23:04.377788,10,6,4000,0,0,2,run_levels_006_dim_04000.txt,2.319
69,5220,2026-04-23T08:23:07.117111,10,6,4500,0,0,2,run_levels_006_dim_04500.txt,2.737
